status, area, eccentricity, perimeter, compactness, aspect ratio, mean of GC, std. dev. of GC, mean of CEGC, std. dev. of CEGC, mean gradient magnitude, neighbour mean gradient magnitude, mean hue, mean saturation, mean value, std. dev. hue, std. dev. saturation, std. dev. value, energy, entropy
1, 24888, 0.64234361, 108.2254, 0.037450576, 0.76641679, 0.02256774, 2.116638, 0.022824865, 2.1210478, 0, 0, 0.022824865, 0.022824865, 0.022824865, 2.1210478, 2.1210478, 2.1210478, 0.0025197938, 0.36220348, 1.8886364
1, 8782, 0.61233558, 38.970562, 0.013761636, 0.79059798, 0.0067400894, 1.2666244, 0.0067675062, 1.2672656, 0, 0, 0.0067675062, 0.0067675062, 0.0067675062, 1.2672656, 1.2672656, 1.2672656, 0.00048377516, 0.42699849, 1.8886364
1, 12407, 0.79229347, 54.284271, 0.018900416, 0.6101402, 0.010173119, 1.4914699, 0.010176824, 1.4915804, 0, 0, 0.010176824, 0.010176824, 0.010176824, 1.4915804, 1.4915804, 1.4915804, 0.00093828526, 0.46371178, 1.8886364
1, 9652, 0.78965993, 39.213203, 0.012677612, 0.61354476, 0.0082806177, 1.3068218, 0.0081998493, 1.3033949, 0, 0, 0.0081998493, 0.0081998493, 0.0081998493, 1.3033949, 1.3033949, 1.3033949, 0.00070083892, 0.44659262, 1.8886364
1, 24983, 0.64234361, 108.2254, 0.037308167, 0.76641679, 0.02256774, 2.116638, 0.022824865, 2.1210478, 0, 0, 0.022824865, 0.022824865, 0.022824865, 2.1210478, 2.1210478, 2.1210478, 0.0025197938, 0.36220348, 1.8886364
1, 9541, 0.8021923, 45.455844, 0.017233587, 0.59706575, 0.0079323559, 1.3381451, 0.0078886984, 1.3365034, 0, 0, 0.0078886984, 0.0078886984, 0.0078886984, 1.3365034, 1.3365034, 1.3365034, 0.00055753306, 0.19838524, 1.8886364
1, 13276, 0.72830227, 57.941125, 0.020123186, 0.685256, 0.011995468, 1.5572987, 0.012028767, 1.5583218, 0, 0, 0.012028767, 0.012028767, 0.012028767, 1.5583218, 1.5583218, 1.5583218, 0.0012396907, 0.24705882, 1.8886364
1, 13830, 0.64607436, 57.941125, 0.019317094, 0.76327449, 0.013382151, 1.5850089, 0.01321936, 1.5805255, 0, 0, 0.01321936, 0.01321936, 0.01321936, 1.5805255, 1.5805255, 1.5805255, 0.0014546318, 0.26236762, 1.8886364
1, 8537, 0.54705729, 35.79899, 0.011946107, 0.83709514, 0.0079641742, 1.2423129, 0.0077821444, 1.2362698, 0, 0, 0.0077821444, 0.0077821444, 0.0077821444, 1.2362698, 1.2362698, 1.2362698, 0.00088457816, 0.20226486, 1.8886364
1, 9144, 0.84644565, 41.455844, 0.014956344, 0.53247511, 0.0074439833, 1.2808394, 0.0074040255, 1.2795496, 0, 0, 0.0074040255, 0.0074040255, 0.0074040255, 1.2795496, 1.2795496, 1.2795496, 0.00060833717, 0.11856279, 1.8886364
1, 6797, 0.51985284, 30.970562, 0.011229775, 0.85425586, 0.0058672254, 1.1374016, 0.0058175848, 1.1355997, 0, 0, 0.0058175848, 0.0058175848, 0.0058175848, 1.1355997, 1.1355997, 1.1355997, 0.00048904913, 0.95217087, 1.8871212
1, 14849, 0.46473366, 70.183766, 0.02639771, 0.88545054, 0.016862077, 1.7315945, 0.017025218, 1.7352112, 0, 0, 0.017025218, 0.017025218, 0.017025218, 1.7352112, 1.7352112, 1.7352112, 0.0023368683, 0.59677919, 1.8863636
1, 10025, 0.74402899, 45.455844, 0.016401562, 0.66814733, 0.010614014, 1.4123988, 0.010376061, 1.4027273, 0, 0, 0.010376061, 0.010376061, 0.010376061, 1.4027273, 1.4027273, 1.4027273, 0.0010342497, 0.22099536, 1.8909091
1, 9071, 0.78277369, 38.970562, 0.013323193, 0.62230647, 0.0091685628, 1.3389627, 0.0090082035, 1.3323114, 0, 0, 0.0090082035, 0.0090082035, 0.0090082035, 1.3323114, 1.3323114, 1.3323114, 0.00085211388, 0.20191332, 1.8909091
1, 6050, 0.44916397, 29.213203, 0.011225175, 0.89344937, 0.0055224204, 1.0802745, 0.0054802983, 1.0783004, 0, 0, 0.0054802983, 0.0054802983, 0.0054802983, 1.0783004, 1.0783004, 1.0783004, 0.00048387266, 0.096454522, 1.8909091
